"location","date","season","plot","side","distance","shrub"
"S","2023-06-22","mj23",4,"A","0-10",60.3
"S","2023-06-22","mj23",4,"A","10-20",62
"S","2023-06-22","mj23",4,"A","20-30",37
"S","2023-06-22","mj23",4,"A","30-40",14
"S","2023-06-22","mj23",4,"A","40-50",49
"S","2023-06-22","mj23",4,"B","0-10",59
"S","2023-06-22","mj23",4,"B","10-20",46
"S","2023-06-22","mj23",4,"B","20-30",11
"S","2023-06-22","mj23",4,"B","30-40",63
"S","2023-06-22","mj23",4,"B","40-50",74
"S","2023-06-22","mj23",11,"A","0-10",96
"S","2023-06-22","mj23",11,"A","10-20",95
"S","2023-06-22","mj23",11,"A","20-30",99
"S","2023-06-22","mj23",11,"A","30-40",100
"S","2023-06-22","mj23",11,"A","40-50",100
"S","2023-06-22","mj23",11,"B","0-10",86
"S","2023-06-22","mj23",11,"B","10-20",76
"S","2023-06-22","mj23",11,"B","20-30",93
"S","2023-06-22","mj23",11,"B","30-40",70
"S","2023-06-22","mj23",11,"B","40-50",97
"S","2023-06-23","mj23",12,"A","0-10",73
"S","2023-06-23","mj23",12,"A","10-20",75
"S","2023-06-23","mj23",12,"A","20-30",61
"S","2023-06-23","mj23",12,"A","30-40",86
"S","2023-06-23","mj23",12,"A","40-50",86
"S","2023-06-23","mj23",12,"B","0-10",55
"S","2023-06-23","mj23",12,"B","10-20",39
"S","2023-06-23","mj23",12,"B","20-30",93
"S","2023-06-23","mj23",12,"B","30-40",96
"S","2023-06-23","mj23",12,"B","40-50",24
"S","2023-06-23","mj23",13,"A","0-10",93
"S","2023-06-23","mj23",13,"A","10-20",85
"S","2023-06-23","mj23",13,"A","20-30",87
"S","2023-06-23","mj23",13,"A","30-40",87
"S","2023-06-23","mj23",13,"A","40-50",74
"S","2023-06-23","mj23",13,"B","0-10",89
"S","2023-06-23","mj23",13,"B","10-20",62
"S","2023-06-23","mj23",13,"B","20-30",82
"S","2023-06-23","mj23",13,"B","30-40",78
"S","2023-06-23","mj23",13,"B","40-50",83
"S","2023-06-23","mj23",5,"A","0-10",70
"S","2023-06-23","mj23",5,"A","10-20",93
"S","2023-06-23","mj23",5,"A","20-30",74
"S","2023-06-23","mj23",5,"A","30-40",88
"S","2023-06-23","mj23",5,"A","40-50",100
"S","2023-06-23","mj23",5,"B","0-10",53
"S","2023-06-23","mj23",5,"B","10-20",84.5
"S","2023-06-23","mj23",5,"B","20-30",54.6
"S","2023-06-23","mj23",5,"B","30-40",63
"S","2023-06-23","mj23",5,"B","40-50",56
"S","2023-06-23","mj23",1,"A","0-10",38
"S","2023-06-23","mj23",1,"A","10-20",19
"S","2023-06-23","mj23",1,"A","20-30",27
"S","2023-06-23","mj23",1,"A","30-40",22
"S","2023-06-23","mj23",1,"A","40-50",84
"S","2023-06-23","mj23",1,"B","0-10",100
"S","2023-06-23","mj23",1,"B","10-20",100
"S","2023-06-23","mj23",1,"B","20-30",35
"S","2023-06-23","mj23",1,"B","30-40",69
"S","2023-06-23","mj23",1,"B","40-50",76
"S","6/23/2023","mj23",2,"A","0-10",100
"S","6/23/2023","mj23",2,"A","10-20",100
"S","6/23/2023","mj23",2,"A","20-30",90
"S","6/23/2023","mj23",2,"A","30-40",97
"S","6/23/2023","mj23",2,"A","40-50",95
"S","6/23/2023","mj23",2,"B","0-10",100
"S","6/23/2023","mj23",2,"B","10-20",56
"S","6/23/2023","mj23",2,"B","20-30",0.5
"S","6/23/2023","mj23",2,"B","30-40",1.3
"S","6/23/2023","mj23",2,"B","40-50",80.6
"S","6/24/2023","mj23",6,"A","0-10",100
"S","6/24/2023","mj23",6,"A","10-20",82
"S","6/24/2023","mj23",6,"A","20-30",72
"S","6/24/2023","mj23",6,"A","30-40",99
"S","6/24/2023","mj23",6,"A","40-50",75
"S","6/24/2023","mj23",6,"B","0-10",80
"S","6/24/2023","mj23",6,"B","10-20",100
"S","6/24/2023","mj23",6,"B","20-30",100
"S","6/24/2023","mj23",6,"B","30-40",100
"S","6/24/2023","mj23",6,"B","40-50",100
"S","2023-06-24","mj23",20,"A","0-10",72
"S","6/24/2023","mj23",20,"A","10-20",100
"S","2023-06-24","mj23",20,"A","20-30",90
"S","6/24/2023","mj23",20,"A","30-40",68
"S","2023-06-24","mj23",20,"A","40-50",68
"S","6/24/2023","mj23",20,"B","0-10",58
"S","2023-06-24","mj23",20,"B","10-20",100
"S","6/24/2023","mj23",20,"B","20-30",100
"S","2023-06-24","mj23",20,"B","30-40",70
"S","6/24/2023","mj23",20,"B","40-50",100
"S","2023-06-24","mj23",7,"A","0-10",99
"S","6/24/2023","mj23",7,"A","10-20",95
"S","2023-06-24","mj23",7,"A","20-30",100
"S","6/24/2023","mj23",7,"A","30-40",99
"S","2023-06-24","mj23",7,"A","40-50",96
"S","6/24/2023","mj23",7,"B","0-10",95
"S","2023-06-24","mj23",7,"B","10-20",98
"S","6/24/2023","mj23",7,"B","20-30",91
"S","2023-06-24","mj23",7,"B","30-40",83
"S","6/24/2023","mj23",7,"B","40-50",82
"S","6/22/2023","mj23",3,"A","0-10",63
"S","6/22/2023","mj23",3,"A","10-20",16.5
"S","6/22/2023","mj23",3,"A","20-30",10
"S","6/22/2023","mj23",3,"A","30-40",36
"S","6/22/2023","mj23",3,"A","40-50",42
"S","6/22/2023","mj23",3,"B","0-10",9.5
"S","6/22/2023","mj23",3,"B","10-20",10
"S","6/22/2023","mj23",3,"B","20-30",9.5
"S","6/22/2023","mj23",3,"B","30-40",8
"S","6/22/2023","mj23",3,"B","40-50",10
"S","6/23/2023","mj23",19,"A","0-10",100
"S","6/23/2023","mj23",19,"A","10-20",90
"S","6/23/2023","mj23",19,"A","20-30",85
"S","6/23/2023","mj23",19,"A","30-40",95
"S","6/23/2023","mj23",19,"A","40-50",100
"S","6/23/2023","mj23",19,"B","0-10",100
"S","6/23/2023","mj23",19,"B","10-20",97
"S","6/23/2023","mj23",19,"B","20-30",100
"S","6/23/2023","mj23",19,"B","30-40",85
"S","6/23/2023","mj23",19,"B","40-50",98
"S","6/25/2023","mj23",14,"A","0-10",25
"S","6/25/2023","mj23",14,"A","10-20",100
"S","6/25/2023","mj23",14,"A","20-30",68
"S","6/25/2023","mj23",14,"A","30-40",53
"S","6/25/2023","mj23",14,"A","40-50",20
"S","6/25/2023","mj23",14,"B","0-10",100
"S","6/25/2023","mj23",14,"B","10-20",50
"S","6/25/2023","mj23",14,"B","20-30",100
"S","6/25/2023","mj23",14,"B","30-40",64
"S","6/25/2023","mj23",14,"B","40-50",100
"S","6/25/2023","mj23",9,"A","0-10",84
"S","6/25/2023","mj23",9,"A","10-20",96
"S","6/25/2023","mj23",9,"A","20-30",96
"S","6/25/2023","mj23",9,"A","30-40",95
"S","6/25/2023","mj23",9,"A","40-50",98
"S","6/25/2023","mj23",9,"B","0-10",95
"S","6/25/2023","mj23",9,"B","10-20",100
"S","6/25/2023","mj23",9,"B","20-30",99
"S","6/25/2023","mj23",9,"B","30-40",77
"S","6/25/2023","mj23",9,"B","40-50",82
"S","6/23/2023","mj23",18,"A","0-10",49
"S","6/23/2023","mj23",18,"A","10-20",33
"S","6/23/2023","mj23",18,"A","20-30",96
"S","6/23/2023","mj23",18,"A","30-40",85
"S","6/23/2023","mj23",18,"A","40-50",91
"S","6/23/2023","mj23",18,"B","0-10",97
"S","6/23/2023","mj23",18,"B","10-20",93
"S","6/23/2023","mj23",18,"B","20-30",86
"S","6/23/2023","mj23",18,"B","30-40",92
"S","6/23/2023","mj23",18,"B","40-50",96
"S","6/24/2023","mj23",8,"A","0-10",95
"S","6/24/2023","mj23",8,"A","10-20",98
"S","6/24/2023","mj23",8,"A","20-30",94
"S","6/24/2023","mj23",8,"A","30-40",99
"S","6/24/2023","mj23",8,"A","40-50",87
"S","6/24/2023","mj23",8,"B","0-10",100
"S","6/24/2023","mj23",8,"B","10-20",94
"S","6/24/2023","mj23",8,"B","20-30",90
"S","6/24/2023","mj23",8,"B","30-40",92
"S","6/24/2023","mj23",8,"B","40-50",97
"S","6/25/2023","mj23",15,"A","0-10",100
"S","6/25/2023","mj23",15,"A","10-20",85
"S","6/25/2023","mj23",15,"A","20-30",44
"S","6/25/2023","mj23",15,"A","30-40",52
"S","6/25/2023","mj23",15,"A","40-50",32
"S","6/25/2023","mj23",15,"B","0-10",65
"S","6/25/2023","mj23",15,"B","10-20",100
"S","6/25/2023","mj23",15,"B","20-30",100
"S","6/25/2023","mj23",15,"B","30-40",100
"S","6/25/2023","mj23",15,"B","40-50",80
"S","6/25/2023","mj23",10,"A","0-10",100
"S","6/25/2023","mj23",10,"A","10-20",99
"S","6/25/2023","mj23",10,"A","20-30",97
"S","6/25/2023","mj23",10,"A","30-40",84
"S","6/25/2023","mj23",10,"A","40-50",64
"S","6/25/2023","mj23",10,"B","0-10",92
"S","6/25/2023","mj23",10,"B","10-20",91
"S","6/25/2023","mj23",10,"B","20-30",67
"S","6/25/2023","mj23",10,"B","30-40",97
"S","6/25/2023","mj23",10,"B","40-50",96
"S","6/25/2023","mj23",16,"A","0-10",100
"S","6/25/2023","mj23",16,"A","10-20",60
"S","6/25/2023","mj23",16,"A","20-30",97
"S","6/25/2023","mj23",16,"A","30-40",67
"S","6/25/2023","mj23",16,"A","40-50",82
"S","6/25/2023","mj23",16,"B","0-10",56
"S","6/25/2023","mj23",16,"B","10-20",78
"S","6/25/2023","mj23",16,"B","20-30",89
"S","6/25/2023","mj23",16,"B","30-40",62
"S","6/25/2023","mj23",16,"B","40-50",53
